,VEGFA,FGF1,Cluster
TCGA-B5-A11Y-01A-21R-A10J-07,5.932465468689768,2.4224038369722907,1
TCGA-A5-AB3J-01A-11R-A40A-07,6.855058594223064,1.28680569617443,1
TCGA-D1-A1NY-01A-11R-A16F-07,7.250215772072508,1.1316704730778542,1
TCGA-A3-3349-01A-01R-1188-07,11.270118474679158,3.947917360921982,0
TCGA-A3-3331-01A-02R-1325-07,11.100788766073013,1.761924760737532,1
TCGA-BP-4326-01A-01R-1289-07,12.181654537999446,1.877357769975115,1
TCGA-B8-A54H-01A-11R-A33J-07,10.951886132982755,1.5357613441450468,1
TCGA-B8-4148-01A-02R-1325-07,10.912908006023676,1.965208541160693,1
TCGA-CZ-5465-01A-01R-1503-07,11.01809954150683,1.7107136038497763,1
TCGA-B0-5097-01A-01R-1420-07,10.211479574134724,2.916827675091429,1
TCGA-B2-5635-01A-01R-1541-07,10.55871352362713,1.94209642705624,1
TCGA-CZ-4857-01A-01R-1305-07,10.101434420743864,1.845107435410392,1
TCGA-B0-4703-01A-01R-1277-07,10.708991979360512,2.6030042353579232,1
TCGA-A3-3320-01A-02R-1325-07,11.639910848031612,1.620845586538484,1
TCGA-B0-5694-01A-11R-1541-07,10.268348211118274,1.6550717782725006,1
TCGA-DV-5567-01A-01R-1541-07,10.57079441476565,3.538077136891602,0
TCGA-B0-4852-01A-01R-1503-07,11.362542788038308,1.921642926027492,1
TCGA-CJ-4923-01A-01R-1426-07,10.69752010382561,3.404819300799553,0
TCGA-CJ-5676-01A-11R-1541-07,9.08312435717318,1.6429381261667018,1
TCGA-CJ-4912-01A-01R-1426-07,11.031892066442364,1.4950279580900936,1
TCGA-B0-4811-01A-01R-1503-07,12.16953048287352,1.7753771360082222,1
TCGA-B0-5113-01A-01R-1420-07,11.878715712711177,2.7117617257836746,1
TCGA-B8-4620-01A-02R-1325-07,10.137149764950042,3.0231064031489487,1
TCGA-B0-5707-01A-11R-1541-07,3.6642197339531855,2.687850870940516,1
TCGA-CJ-5686-01A-11R-1672-07,9.89973574336543,2.1745424996614364,1
TCGA-BP-4160-01A-02R-1289-07,9.30743736572476,2.6180736850547,1
TCGA-CW-5587-01A-01R-1541-07,9.978266555686952,2.013345764117611,1
TCGA-A3-3376-01A-02R-1420-07,10.291070271389922,3.0264563264187814,1
TCGA-BP-4166-01A-02R-1289-07,9.916620778889488,3.829228366576488,0
TCGA-BP-4960-01A-01R-1334-07,11.294049342172736,2.487288522855224,1
TCGA-CJ-4902-01A-01R-1426-07,11.021039707037978,2.6034884508800955,1
TCGA-CZ-5463-01A-01R-1503-07,10.862325034198006,1.2908532909796289,1
TCGA-A3-A6NL-01A-11R-A33J-07,11.175364900599044,1.8222774347675983,1
TCGA-BP-5184-01A-01R-1426-07,9.81603994226433,1.8073438610545487,1
TCGA-B0-5706-01A-11R-1541-07,11.23085293105872,1.591803789681639,1
TCGA-CJ-5678-01A-11R-1541-07,9.082657839390452,0.6997584430577304,1
TCGA-AK-3434-01A-02R-1277-07,9.030695550672863,2.0320421541081366,1
TCGA-MM-A564-01A-11R-A266-07,10.99264563059896,2.6694368053707977,1
TCGA-BP-4329-01A-02R-1289-07,10.40174016035517,1.5628776959433122,1
TCGA-DV-A4W0-05A-11R-A266-07,11.560668746431432,2.9803631300892337,1
TCGA-B2-5639-01A-01R-1541-07,9.040872385991351,1.835627738815497,1
TCGA-DV-A4W0-01A-11R-A266-07,10.98601721583595,2.2069361370192966,1
TCGA-A3-A8OW-01A-11R-A37O-07,10.229625783909617,2.4717389896243263,1
TCGA-AS-3777-01A-01R-0864-07,5.744353896787865,1.5078008183393297,1
TCGA-B0-5099-01A-01R-1420-07,11.973086508095896,2.096835057921924,1
TCGA-CJ-4634-01A-02R-1325-07,11.16235331796559,2.177740821132649,1
TCGA-B0-5119-01A-02R-1420-07,10.761822246503437,1.8917961511449628,1
